Combined Name,GENRE,x,ESPECE,RG,SUBSP.,END.,DIST.,NF,NG,NE,NI
Leucanthemum atratum,Leucanthemum,,atratum,subsp.    ,halleri,End.,E-Alp.,124,39,8,2
Leucanthemum atratum,Leucanthemum,,atratum,subsp.    ,lithopolitanicum,End.,E-Alp.,124,39,8,6
Leucanthemum burnatii,Leucanthemum,,burnatii,,,End.,W-Alp.,124,39,7,
Leucanthemum cuneifolium,Leucanthemum,,cuneifolium,,,End.?,?,124,39,4,
Leucanthemum discoideum,Leucanthemum,,discoideum,,,Subend.,W-Alp.,124,39,9,
Ligusticum ferulaceum,Ligusticum,,ferulaceum,,,Subend.,W-Alp.,97,48,4,
Lilium pomponium,Lilium,,pomponium,,,End.,W-Alp.,143,15,4,
Linaria tonzigii,Linaria,,tonzigii,,,End.,E-Alp.,114,11,1,
Luzula glabrata,Luzula,,glabrata,,,End.,E-Alp.,137,2,16,
Medicago pironae,Medicago,,pironae,,,Subend.,E-Alp.,64,32,10,
Melampyrum subalpinum,Melampyrum,,subalpinum,,,End.?,E-Alp.,114,20,8,
Micromeria marginata,Micromeria,,marginata,,,End.,W-Alp.,108,22,2,
Minuartia austriaca,Minuartia,,austriaca,,,Subend.,E-Alp.,38,3,12,
Minuartia cherlerioides,Minuartia,,cherlerioides,subsp.    ,cherlerioides,End.,E-Alp.,38,3,11,1
Minuartia cherlerioides,Minuartia,,cherlerioides,subsp.    ,rionii,End.,Alp.,38,3,11,2
Minuartia graminifolia,Minuartia,,graminifolia,,,End.,E-Alp.,38,3,8,
Minuartia grignensis,Minuartia,,grignensis,,,End.,E-Alp.,38,3,10,
Minuartia rupestris,Minuartia,,rupestris,subsp.    ,clementei,End.,W-Alp.,38,3,9,2
Minuartia rupestris,Minuartia,,rupestris,subsp.    ,rupestris,End.,Alp.,38,3,9,1
Moehringia bavarica,Moehringia,,bavarica,subsp.    ,insubrica,End.,E-Alp.,38,2,11,2
Moehringia concarenae,Moehringia,,concarenae,,,End.,E-Alp.,38,2,9,
Moehringia dielsiana,Moehringia,,dielsiana,,,End.,E-Alp.,38,2,12,
